year,tractor_familyname_std,tractor_2_familyname_std,stans_familyname_std,stans_2_familyname_std
1131,Michiel,,Bembo,
1321,Barbarigo,,Caravello,
1199,Viaro,,Arduini,
1312,,,Canal,
1130,Falier,,Morosini,
1323,Miani,,Foscolo,
1186,Morosini,,,
1200,,,Barbani,
1201,Viaro,,Ziani,
1228,Longo,,Bredani,
1242,Belli,,Barastro,
1207,Corner,,Corner,
1250,,,Balestrieri,
1327,Trevisan,,Giustinian,
1206,,,,
1205,Corner,,Semitecolo,
1316,Sanudo,,Sanudo,
1323,Orio,,Michiel,
1234,,,Alberto,
1322,Badoer,,Badoer,
1323,Morosini,,Moro,
1208,Emo,,Casolo,
1206,Staniario,,Zane,
1170,Da Molin,,Venier,
1248,Veglia,,Grego,
1316,Boninsegna,,Michiel,
1209,Viaro,,Ziani,
1120,,,Navigroso,
1324,Zulian,,Dalla Scala,
1202,Viaro,,Badoer,
1210,Gradenigo,,,
1329,Trevisan,,Dalle Sevole,
1118,Da Molin,,Grioni,
1234,,,,
1319,Malipiero,,Arimondo,
1198,Viaro,,Da Mula,
1226,Emo,,Agadi,
1236,Longo,,Albizzo,
1320,Morosini,,Morosini,
1236,,,Marioni,
1083,Morosini,,Morosini,
1231,Falier,,,
1221,Bon,,Muazzo,
1226,,,,
1329,Trevisan,,Giustinian,
1243,Ruzier,,,
1172,Bon,,,
1138,,,,
1252,Sirano,,Ghisi,
1159,Marano,,,
1208,Gradenigo,,Soranzo,
1197,Faccio,,Polini,
1323,Foscarini,,Marin,
1209,Viaro,,Encio,
1323,,,Tagliapietra,
1159,,,Manolesso,
1207,Gradenigo,,,
1329,Morosini,,Dalla Scala,
1320,Sagredo,,,
1204,Viaro,,Arduini,
1240,Vitturi,,,
1313,,,Benedetti,
1326,Querini,,Boninsegna,
1234,,,Civran,
1204,Viaro,,,
1239,,,Marioni,
1310,Contarini,,Zorzi,
1319,Boldu,,,
1217,Vitaliano,,Baseggio,
1159,Guido,,,
1333,Da Molin,,Brizi,
1329,Morosini,,Zordani,
1206,Da Fano,,Curtolo,
1247,Lanfranchi,,Mosto,
1327,Barbarigo,,Morosini,
1183,Vidal,,,
1206,,,Staniario,
1327,Trevisan,,Dalle Sevole,
1323,,,,
1220,Emo,,,
1220,Zantani,,Donato,
1182,Tiepolo,,Tiepolo,
1312,Benedetti,,,
1198,,,,
1235,Calbo,,,
1250,,,,
1165,Vidal,,,
1200,D'Avanzago,,Barbarigo,
1207,Gradenigo,,,
1190,Tiepolo,,Ziani,
1207,Viaro,,Da Molin,
1238,Ragusio,,Marioni,
1244,Barbo,,Giustinian,
1253,Emo,,,
1319,Flabiano,,Semitecolo,
1326,Morosini,,Giustinian,
1235,Falier,,Capello,
1217,Gradenigo,,Bembo,
1225,D'Equilo,,,
1207,Corner,,Longo,
1252,,,,
1234,,,,
1153,Calbo,,Grego,
1218,Gradenigo,,Bembo,
1228,Longo,,,
1243,Barbo,,Dalla Fontana,
1233,Venier,,,
1223,Gradenigo,,Ziani,
1138,Contarini,,Giustinian,
1161,Marano,,Dandolo,
1225,Gradenigo,,Gradenigo,
1312,Venier,,Marcello,
1338,Barbarigo,,Morosini,
1213,Gradenigo,,Bembo,
1246,,,,
1316,Sanudo,,Dandolo,
1316,Badoer,,Dandolo,
1234,,,,
1190,Tiepolo,,Tolonegi,
1184,Da Molin,,Da Molin,
1323,Barbarigo,,Badoer,
1156,Marano,,Navigroso,
1208,Gradenigo,,Gradenigo,
1244,Miani,,,
1205,Gradenigo,,Mocenigo,
1257,Trevisan,,,
1323,Tron,,Tron,
1234,Acotanto,,Zusto,
1228,,,Barozzi,
1316,,,,
1316,Sanudo,,Giustinian,
1342,Barbarigo,,Morosini,
1328,Morosini,,Giustinian,
1209,Corner,,,
1243,Barbo,,Giustinian,
1234,,,,
1325,Morosini,,Giustinian,
1323,Morosini,,Gradenigo,
1260,,,Trevisan,
1234,,,Bon,
1224,Emo,,Badoer,
1313,,,Giustinian,
1333,Trevisan,,Giustinian,
1249,Venier,,Nicola,
1208,Gradenigo,,Morosini,
1200,Staniario,,Istrigo,
1326,Morosini,,Zordani,
1251,Venier,,Trevisan,
1312,,,,
1224,Emo,,Badoer,
1234,,,Agadi,
1253,Emo,,Badoer,
1154,Marano,,Gussoni,
1323,,,,
1322,,,,
1255,,,Gradenigo,
1234,,,Senadori,
1089,,,Storladi,
1220,Gradenigo,,Gradenigo,
1191,Tonisti,,Giustinian,
1320,Morosini,,Contarini,
1207,Gradenigo,,,
1340,Barbarigo,,Morosini,
1243,Miani,,,
1223,Gradenigo,,Zorzi,
1316,Badoer,,Ghisi,
1251,,,Zantani,
1333,Trevisan,,Dalle Sevole,
1167,,,Marano,
1313,Viaro,,Soranzo,
1323,Miani,,Zen,
1234,Acotanto,,Zusto,
1250,,,,
1165,Vidal,,,
1244,Miani,,,
1239,,,Donato,
1316,Sanudo,,Soranzo,
1214,Faccio,,Bredani,
1328,Soranzo,,Foscarini,
1244,Belli,,Dolfin,
1258,Venier,,,
1198,Viaro,,Arimondo,
1253,,,Marioni,
1205,Viaro,,Corner,
1210,Corner,,Bosio,
1241,,,Trevisan,
1239,,,Albino,
1130,Da Molin,,Addoldo,
1231,Orio,,Contarini,
1209,Gradenigo,,,
1222,Gradenigo,,,
1226,Coppo,,Valaresso,
1242,Barbo,,Canal,
1247,Da Molin,,Da Molin,
1255,Trevisan,,Viaro,
1324,Zulian,,Dalla Scala,
1323,Barbarigo,,Da Molin,
1323,Michiel,,Michiel,
1197,Viaro,,Zorzi,
1214,Faccio,,Boccazo,
1209,Gradenigo,,Ziani,
1239,Venier,,Balbi,
1313,Alberto,,,
1208,Gradenigo,,Gradenigo,
1155,Marano,,Querini,
1324,Barbo,,Bollani,
1208,Gradenigo,,,
1323,Morosini,,Gradenigo,
1319,Barbarigo,,Caravello,
1088,,,Storladi,
1210,Corner,,Bosio,
1235,,,Marioni,
1210,Staniario,,,
1313,Viaro,Viaro,Donato,
1239,Staniario,,Marioni,
1156,Corner,,Mazaman,
1331,Barbarigo,,Morosini,
1192,Marano,,Michiel,
1319,Malipiero,,Arimondo,
1257,Trevisan,,,
1242,,,Marioni,
1254,Businago,,,
1246,Barbo,,Giustinian,
1319,Barbarigo,,Morosini,
1073,,,,
1231,Falier,,,
1311,Zopolo,,Morosini,
1167,Falier,,Contarini,
1322,Tiepolo,,Contarini,
1188,Signolo,Signolo,Coppo,
1310,Contarini,,Lando,
1234,,,Contarini,
1257,Soranzo,,Trevisan,
1248,Barastro,,,
1224,,,Darpin,
1253,Ghisi,,Businago,
1202,Viaro,,Corner,
1242,Foscolo,,Barastro,
1239,Bembo,,Premarin,
1312,,,Michiel,
1212,Longo,,Canal,
1205,Curtolo,,Venier,
1310,,,Trevisan,
1260,Gussoni,,Canal,
1253,,,,
1234,,,Alberto,
1326,Morosini,,Lion,
1260,Trevisan,,Scutario,
1205,Viaro,,Dauro,
1323,Tiepolo,,Contarini,
1314,Belegno,,Barbetta,
1312,,,Pesaro,
1195,Tiepolo,,Canal,
1254,Semitecolo,,,
1212,Viaro,,,
1319,Barbarigo,,Badoer,
1202,Viaro,,Boccazo,
1325,Grioni,,Brizi,
1225,Badoer,Emo,Badoer,
1316,Sanudo,,Sanudo,
1222,Gradenigo,,Gradenigo,
1189,Da Molin,,Da Molin,
1331,Trevisan,,Giustinian,
1242,Miani,,,
1331,Trevisan,,Dalle Sevole,
1207,,,Curtolo,
1222,Fradello,,Barbo,
1323,Orio,,Caravello,
1316,Badoer,,Soranzo,
1153,Bonaldi,,Mastropetro,
1255,,,Viaro,
1239,,,,
1207,Gradenigo,,Viaro,
1242,Belli,,Venier,
1227,Longo,,Bredani,
1239,,,Venier,
1198,Viaro,,Arduini,
1239,,,,
1205,,,,
1319,Malipiero,,Giustinian,
1191,Falier,,Michiel,
1206,,,Staniario,
1248,Trevisan,,,
1312,,,,
1252,Belli,,Falier,
1231,Soranzo,,,
1323,Morosini,,Moro,
1239,,,Dalla Fontana,
1320,Malipiero,,Arimondo,
1206,Corner,,Semitecolo,
1225,Gradenigo,,Gradenigo,
1316,Sanudo,,Soranzo,
1231,Soranzo,,,
1323,Da Molin,,Brizi,
1211,Gritti,,Gritti,
1321,Tiepolo,,Tiepolo,
1220,,,,
1316,Sanudo,,Soranzo,
1208,Emo,,,
1255,Trevisan,,Trevisan,
1316,Badoer,,Ghisi,
1325,Barbarigo,,Morosini,
1231,Falier,,,
1217,Corner,,Bosio,
1234,,,Bon,
1312,,,,
1223,Canal,,Navigroso,
1205,Viaro,,,
1232,Barbo,,Belegno,
1235,,,Marioni,
1182,Corner,,Semitecolo,
1255,,,Trevisan,
1243,Barbo,,Savoner,
1233,,,,
1322,Mussolino,,Trevisan,
1199,Staniario,,Agadi,
1256,Rosso,,,
1222,Gradenigo,,Gradenigo,
1323,Barbarigo,,Morosini,
1224,Michiel,,Premarin,
1234,Marin,,Fradello,
1232,Emo,,Albizzo,
1218,Emo,,Zorzi,
1244,,,Navager,
1191,Falier,,Marcello,
1189,Tiepolo,,Marcello,
1232,Romani,,Marcello,
1234,,,Veglia,
1311,Alberto,,,
1239,,,Donato,
1252,Tiepolo,,Marioni,
1189,,,Boccazo,
1207,Gradenigo,,,
1257,Marin,,Marioni,
1231,Soranzo,,Querini,
1201,Viaro,,Da Mula,
1191,Corner,,Donato,
1222,Gradenigo,,Venier,
1320,Malipiero,,Arimondo,
1321,Tiepolo,,Baseggio,
1253,Emo,,Nicola,
1313,,,Giustinian,
1190,Corner,,Semitecolo,
1338,Da Molin,,Da Molin,
1121,Moro,,Ardizon,
1329,Barbarigo,,Morosini,
1331,Da Molin,,Brizi,
1253,Emo,,Badoer,
1228,Minio,,,
1167,Zulian,,Marano,
1154,Da Molin,,,
1321,Barbarigo,,Badoer,
1212,Bianco,,,
1239,,,,
1190,Tiepolo,,Tiepolo,
1313,Viaro,Viaro,Zen,
1315,Trevisan,,Dalla Fontana,
1321,Barbarigo,,Morosini,
1170,Pasqualigo,,,
1105,,,Michiel,
1256,Trevisan,,Barastro,
1207,Gradenigo,,Mocenigo,
1313,Viaro,Viaro,Lion,
1320,Martinazo,,Corner,
1221,Bon,,Muazzo,
1222,,,Guido,
1226,Emo,,Grasso,
1328,Morosini,,Zordani,
1333,Loredan,,Babilonio,
1185,Da Mula,,Da Mula,
1161,Venier,,Malaza,
1205,Emo,,Nadal,
1239,,,,
1322,Tiepolo,,Tiepolo,
1220,Gradenigo,,Gradenigo,
1192,Baseggio,,Nadal,
1208,Gradenigo,,Ziani,
1234,,,Dandolo,
1320,Sagredo,,Arimondo,
1239,,,,
1316,Belegno,,Barbetta,
1242,Barbo,,Minio,
1212,Romani,,Agadi,Agadi
1234,Michiel,,Boccazo,Boccazo
1239,Venier,,Caravello,Caravello
1159,Corner,,Corner,Corner
1326,,,,De Laurentio
1232,Barbo,,Grimani,Grimani
1230,Minio,,Marin,Marin
1260,Gussoni,,Michiel,Michiel
1261,Venier,,Michiel,Michiel
1239,,,Albino,Muazzo
1238,Lombardo,,Nani,Nani
1234,,,Rosso,Rosso
1213,Gradenigo,,Soranzo,Soranzo
